Subject_ID,Stage,max,min,median,mean,var,rms,diff1_mean,diff2_mean,diff1_std,diff2_std,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7
20250408-00999099,Rest,15.6,-17.9,0.27197545222048664,0.3008738899059324,0.05965580039819389,0.38753180259860087,-0.00216024834215156,-2.058582248875036e-05,0.013181919802034533,0.0036661100041136493,2.796458428427501,0.25199603529954334,0.029274091230204174,0.0054431312764539564,0.0009239201671676484,0.0007400314835320153,0.0004051923311163079,0.00012989355574829543
20250408-00999099,Positive,-18.3,-29.9,0.28948720788263466,0.33995419369154045,0.04045464484472362,0.394998099556427,-0.002625169474416578,8.020901039206701e-05,0.033806247031524954,0.015515165341969414,2.003038415784366,0.3051452360665229,0.05991660925647992,0.0481368949860611,0.018984652331257408,0.01230320292006531,0.003207359008056484,0.004904285790259436
20250408-00999099,Neutral,-22.5,-32.5,0.4685679123906513,0.49676104009878785,0.026184624197785576,0.5224520601527141,3.751949056113354e-05,6.521299371114864e-05,0.03248619688023489,0.016486325437472645,2.133001345731891,0.7448096360735427,1.693525119677936,0.21315842695113246,0.05764331197333425,0.026858009097256025,0.02030385082202973,0.01010157302826695
20250408-00999099,Negative,26.4,-15.4,0.7199656967898851,0.6392789226651411,0.07161930145396811,0.693034517479376,0.0007932814802162863,-1.8899854246926065e-06,0.011636350609037982,0.0066953382006312715,8.048871219526472,0.15978656134409472,0.12973644967792128,0.01731856392233839,0.014366685999798439,0.006619310885992902,0.004646860368201779,0.0018711415599629653
20250408-01105283,Rest,22.2,14.4,0.48818154212837106,0.4513298304329711,0.09009511257477719,0.542027424041839,-0.0014868438566916647,-7.98805361423948e-08,0.010398482057697299,0.006910097568604746,2.589314439662298,0.12079079562043368,0.0070534989693644525,0.0031726558995241864,0.0028355268068280663,0.0024465033693161094,0.0016861847444534705,0.0014367264696240314
20250408-01105283,Positive,19.0,14.2,0.5045952516970773,0.5228813519428713,0.060367716608058,0.5777305815150025,0.0016795638602990362,-1.2641849227848304e-05,0.017369509132705175,0.009386976522288733,3.836637602562189,0.3775812699755567,0.07859409074063528,0.010427428873432707,0.0075299529229649505,0.007910163728977382,0.0021878183274971538,0.005415375308495214
20250408-01105283,Neutral,20.0,-11.1,0.8323016675810362,0.6328891722382561,0.12924483255224659,0.7278691756687266,-0.0011073309531200292,7.0148501616274205e-06,0.011722294972755959,0.005039658149449223,16.565656050489174,0.3456886152430541,0.0447366257520943,0.017577989705613344,0.014602070498107555,0.004861461413821507,0.0015090679915030333,0.0006809401645061153
20250408-01105283,Negative,5.2,-10.7,0.36117100225040416,0.43111244846035807,0.06390089633093238,0.4997587813619859,-0.00015035929665969348,-3.5380058568042763e-06,0.01508351141382878,0.009292292551656641,8.671475247648866,0.10866275732575299,0.04991435881285197,0.019952130665132174,0.027559523435548357,0.015428795606421304,0.012708685637582623,0.00963044741582816
20250408-01588050,Rest,10.0,0.1,0.6353793037418187,0.5702969991555303,0.07308951262332114,0.6311324582598523,0.0010876996638289427,-1.8102144700240867e-06,0.02102185313144498,0.009941783595105601,2.053359438046553,0.2953521058478207,0.10199605744244315,0.04765540150478548,0.011078889398816509,0.009022226229577891,0.0021364439154086643,0.0012802884923998482
20250408-01588050,Positive,10.7,0.8,0.313518259508923,0.3416577293625628,0.062065482027899736,0.42284215265401565,0.0016054747275485192,5.67235773481529e-06,0.02185526447736468,0.009702032614107504,2.945651930465324,0.27766448357424645,0.0419671098349243,0.015481661578018993,0.012072513588701608,0.002006514324362683,0.0005224459784970705,0.0006268963503199853
