静息,正,中,负
15:06:01,15:07:41,15:09:05,15:11:28
,,,
CTP208 ,D4:F5:13:0B:7B:1B,,
,,,
,,,
,,,
,,,
,,,
,,,
20250509,15:02:03,-3.7,
20250509,15:02:03,50.9,
20250509,15:02:03,-2,
20250509,15:02:04,-6.5,
20250509,15:02:04,-7.5,
20250509,15:02:04,-7,
20250509,15:02:04,36.7,
20250509,15:02:05,-2.5,
20250509,15:02:05,-4.2,
20250509,15:02:05,-3.9,
20250509,15:02:05,-3.6,
20250509,15:02:06,-3.4,
20250509,15:02:06,8.9,
20250509,15:02:06,-4,
20250509,15:02:07,-6,
20250509,15:02:07,-6.6,
20250509,15:02:07,-6.1,
20250509,15:02:07,-5.5,
20250509,15:02:08,-4.9,
20250509,15:02:08,9.2,
20250509,15:02:08,-2.8,
20250509,15:02:08,-2.9,
20250509,15:02:09,-2.6,
20250509,15:02:09,-2.4,
20250509,15:02:09,-2.3,
20250509,15:02:10,-2.3,
20250509,15:02:10,15.4,
20250509,15:02:10,-1.5,
20250509,15:02:10,-2.6,
20250509,15:02:11,-2.9,
20250509,15:02:11,-3.4,
20250509,15:02:11,-4,
20250509,15:02:11,-4.5,
20250509,15:02:12,65.7,
20250509,15:02:12,-2.6,
20250509,15:02:12,-6,
20250509,15:02:13,-6,
20250509,15:02:13,-5,
20250509,15:02:13,-3.9,
20250509,15:02:13,-2.8,
20250509,15:02:14,-1.7,
20250509,15:02:14,9.4,
20250509,15:02:14,0.9,
20250509,15:02:15,0.9,
20250509,15:02:15,1.3,
20250509,15:02:15,1.5,
20250509,15:02:15,1.4,
20250509,15:02:16,1.2,
20250509,15:02:16,0.8,
20250509,15:02:16,4.8,
20250509,15:02:16,0.1,
20250509,15:02:17,-0.7,
20250509,15:02:17,-1.2,
20250509,15:02:17,-1.7,
20250509,15:02:18,-2,
20250509,15:02:18,-2.6,
20250509,15:02:18,65.7,
20250509,15:02:18,-0.3,
20250509,15:02:19,-3.5,
20250509,15:02:19,-3.8,
20250509,15:02:19,-4,
20250509,15:02:19,-4.3,
20250509,15:02:20,-4.6,
20250509,15:02:20,-4.9,
20250509,15:02:20,3,
20250509,15:02:21,-4.7,
20250509,15:02:21,-5.1,
20250509,15:02:21,-5.8,
20250509,15:02:21,-6,
20250509,15:02:22,-6.8,
20250509,15:02:22,-6.7,
20250509,15:02:22,65.7,
20250509,15:02:23,-4.3,
20250509,15:02:23,-7.7,
20250509,15:02:23,-6.8,
20250509,15:02:23,-5.8,
20250509,15:02:24,-5.4,
20250509,15:02:24,-6.1,
20250509,15:02:24,-7.4,
20250509,15:02:24,13.1,
20250509,15:02:25,-7,
20250509,15:02:25,-8,
20250509,15:02:25,-7.9,
20250509,15:02:26,-8,
20250509,15:02:26,-8,
20250509,15:02:26,65.7,
20250509,15:02:26,-3.2,
20250509,15:02:27,-5.6,
20250509,15:02:27,-5.1,
20250509,15:02:27,-4.9,
20250509,15:02:27,-4.6,
20250509,15:02:28,43.9,
20250509,15:02:28,0,
20250509,15:02:28,-4.5,
20250509,15:02:29,-5.2,
20250509,15:02:29,-5.6,
20250509,15:02:29,-6,
20250509,15:02:29,-6.5,
20250509,15:02:30,-0.7,
20250509,15:02:30,-7.8,
20250509,15:02:30,-8.2,
20250509,15:02:31,-7.7,
20250509,15:02:31,-6.9,
20250509,15:02:31,-6.4,
20250509,15:02:31,16.6,
