静息,正性,中性,负性
11:13:57,11:15:38,11:17:01,11:22:21
,,,
CTP266,88:4A:EA:8B:D1:E6,,
,,,
,,,
,,,
,,,
,,,
,,,
20250428,11:09:47,-49.4,
20250428,11:09:47,-49.8,
20250428,11:09:47,-49.9,
20250428,11:09:47,-49.9,
20250428,11:09:48,-50,
20250428,11:09:48,-50.2,
20250428,11:09:48,-49.4,
20250428,11:09:48,-50.1,
20250428,11:09:49,-50.2,
20250428,11:09:49,-50.2,
20250428,11:09:49,-50.3,
20250428,11:09:49,-50.3,
20250428,11:09:50,-50.2,
20250428,11:09:50,-50.2,
20250428,11:09:50,-50.1,
20250428,11:09:51,-50,
20250428,11:09:51,-50,
20250428,11:09:51,-50,
20250428,11:09:51,-49.9,
20250428,11:09:52,-49.9,
20250428,11:09:52,-49.8,
20250428,11:09:52,-49.7,
20250428,11:09:53,-49.7,
20250428,11:09:53,-49.5,
20250428,11:09:53,-49.5,
20250428,11:09:53,-49.4,
20250428,11:09:54,-49.4,
20250428,11:09:54,-49.3,
20250428,11:09:54,-49.1,
20250428,11:09:54,-49,
20250428,11:09:55,-49,
20250428,11:09:55,-48.8,
20250428,11:09:55,-48.8,
20250428,11:09:56,-48.6,
20250428,11:09:56,-48.5,
20250428,11:09:56,-48.3,
20250428,11:09:56,-48.3,
20250428,11:09:57,-48.3,
20250428,11:09:57,-48.2,
20250428,11:09:57,-48,
20250428,11:09:57,-47.9,
20250428,11:09:58,-47.8,
20250428,11:09:58,-47.7,
20250428,11:09:58,-47.5,
20250428,11:09:59,-47.3,
20250428,11:09:59,-47.3,
20250428,11:09:59,-47.1,
20250428,11:09:59,-46.9,
20250428,11:10:00,-46.8,
20250428,11:10:00,-46.8,
20250428,11:10:00,-46.8,
20250428,11:10:01,-46.6,
20250428,11:10:01,-46.5,
20250428,11:10:01,-46.3,
20250428,11:10:01,-46.2,
20250428,11:10:02,-46.1,
20250428,11:10:02,-46,
20250428,11:10:02,-45.9,
20250428,11:10:03,-45.9,
20250428,11:10:03,-45.6,
20250428,11:10:03,-45.2,
20250428,11:10:03,-45.2,
20250428,11:10:04,-45.1,
20250428,11:10:04,-45.1,
20250428,11:10:04,-45,
20250428,11:10:04,-44.9,
20250428,11:10:05,-44.9,
20250428,11:10:05,-44.8,
20250428,11:10:05,-45,
20250428,11:10:06,-44.7,
20250428,11:10:06,-44.4,
20250428,11:10:06,-44,
20250428,11:10:06,-44,
20250428,11:10:07,-43.9,
20250428,11:10:07,-43.8,
20250428,11:10:07,-43.7,
20250428,11:10:07,-43.7,
20250428,11:10:08,-43.7,
20250428,11:10:08,-43.7,
20250428,11:10:08,-43.8,
20250428,11:10:09,-43.8,
20250428,11:10:09,-43.9,
20250428,11:10:09,-43.9,
20250428,11:10:09,-43.9,
20250428,11:10:10,-44,
20250428,11:10:10,-44.1,
20250428,11:10:10,-44.2,
20250428,11:10:11,-44.2,
20250428,11:10:11,-44.3,
20250428,11:10:11,-44.3,
20250428,11:10:11,-44.3,
20250428,11:10:12,-44.4,
20250428,11:10:12,-44.5,
20250428,11:10:12,-44.4,
20250428,11:10:13,-44.4,
20250428,11:10:13,-44.4,
20250428,11:10:13,-44.7,
20250428,11:10:13,-45.1,
20250428,11:10:14,-45.1,
20250428,11:10:14,-44.9,
20250428,11:10:14,-44.8,
20250428,11:10:14,-44.5,
20250428,11:10:15,-44.3,
20250428,11:10:15,-44.3,
20250428,11:10:15,-44.3,
20250428,11:10:16,-44.2,
20250428,11:10:16,-43.8,
20250428,11:10:16,-43.9,
20250428,11:10:16,-43.8,
20250428,11:10:17,-43.7,
20250428,11:10:17,-43.6,
20250428,11:10:17,-43.7,
20250428,11:10:17,-43.7,
20250428,11:10:18,-43.5,
20250428,11:10:18,-43.4,
20250428,11:10:18,-43.2,
20250428,11:10:19,-43.2,
20250428,11:10:19,-43,
20250428,11:10:19,-43.2,
20250428,11:10:19,-43.3,
20250428,11:10:20,-43.1,
20250428,11:10:20,-42.9,
20250428,11:10:20,-42.9,
20250428,11:10:21,-42.7,
20250428,11:10:21,-42.7,
20250428,11:10:21,-42.6,
20250428,11:10:21,-42.7,
20250428,11:10:22,-42.7,
20250428,11:10:22,-42.6,
20250428,11:10:22,-42.6,
20250428,11:10:23,-42.6,
20250428,11:10:23,-42.6,
20250428,11:10:23,-42.5,
20250428,11:10:23,-42.3,
20250428,11:10:24,-42.3,
20250428,11:10:24,-42.8,
20250428,11:10:24,-42.6,
20250428,11:10:24,-42.2,
20250428,11:10:25,-42.1,
20250428,11:10:25,-41.8,
20250428,11:10:25,-41.7,
20250428,11:10:25,-41.8,
20250428,11:10:26,-41.7,
20250428,11:10:26,-41.7,
20250428,11:10:26,-41.8,
20250428,11:10:27,-41.9,
20250428,11:10:27,-41.8,
20250428,11:10:27,-42.2,
20250428,11:10:27,-42,
20250428,11:10:28,-41.1,
20250428,11:10:28,-40.9,
20250428,11:10:28,-40.4,
20250428,11:10:29,-40.5,
20250428,11:10:29,-40.4,
20250428,11:10:29,-40.4,
20250428,11:10:29,-40.4,
20250428,11:10:30,-40.4,
20250428,11:10:30,-40.2,
20250428,11:10:30,-40.2,
20250428,11:10:30,-40,
20250428,11:10:31,-39.6,
20250428,11:10:31,-39.5,
20250428,11:10:31,-39.6,
20250428,11:10:32,-39.7,
20250428,11:10:32,-39.7,
20250428,11:10:32,-39.7,
20250428,11:10:32,-40.4,
20250428,11:10:33,-40.9,
20250428,11:10:33,-41,
20250428,11:10:33,-40.9,
20250428,11:10:34,-40.7,
20250428,11:10:34,-40.4,
20250428,11:10:34,-40,
20250428,11:10:34,-39.5,
20250428,11:10:35,-39.3,
20250428,11:10:35,-39.2,
20250428,11:10:35,-39.2,
20250428,11:10:35,-39.2,
20250428,11:10:36,-39.4,
20250428,11:10:36,-39.4,
20250428,11:10:36,-39.4,
20250428,11:10:37,-39.4,
20250428,11:10:37,-39.3,
20250428,11:10:37,-39.3,
20250428,11:10:37,-39.1,
20250428,11:10:38,-39,
20250428,11:10:38,-39,
20250428,11:10:38,-38.7,
20250428,11:10:38,-38.7,
20250428,11:10:39,-38.7,
20250428,11:10:39,-38.5,
20250428,11:10:39,-38.6,
20250428,11:10:40,-38.4,
20250428,11:10:40,-38.3,
20250428,11:10:40,-38.5,
20250428,11:10:40,-38.5,
20250428,11:10:41,-38.3,
20250428,11:10:41,-38.3,
20250428,11:10:41,-38.3,
20250428,11:10:42,-38.1,
20250428,11:10:42,-38.3,
20250428,11:10:42,-38.4,
20250428,11:10:42,-38.3,
20250428,11:10:43,-38.3,
20250428,11:10:43,-38.3,
20250428,11:10:43,-38.1,
20250428,11:10:44,-38.1,
20250428,11:10:44,-38.2,
20250428,11:10:44,-38.3,
20250428,11:10:44,-38.3,
20250428,11:10:45,-38.3,
20250428,11:10:45,-38.3,
20250428,11:10:45,-38.1,
20250428,11:10:45,-37.8,
20250428,11:10:46,-38,
20250428,11:10:46,-38,
20250428,11:10:46,-38,
20250428,11:10:47,-38.1,
20250428,11:10:47,-38.3,
20250428,11:10:47,-38.3,
20250428,11:10:47,-38.2,
20250428,11:10:48,-38.3,
20250428,11:10:48,-38.2,
20250428,11:10:48,-38.3,
20250428,11:10:48,-38.1,
20250428,11:10:49,-38.1,
20250428,11:10:49,-38.1,
20250428,11:10:49,-38.1,
20250428,11:10:50,-37.9,
20250428,11:10:50,-38,
20250428,11:10:50,-37.9,
20250428,11:10:50,-38.1,
20250428,11:10:51,-37.9,
20250428,11:10:51,-37.7,
20250428,11:10:51,-37.7,
20250428,11:10:52,-37.6,
20250428,11:10:52,-37.7,
20250428,11:10:52,-37.6,
20250428,11:10:52,-37.5,
20250428,11:10:53,-37.4,
20250428,11:10:53,-37.4,
20250428,11:10:53,-37.4,
20250428,11:10:53,-37.4,
20250428,11:10:54,-37.2,
20250428,11:10:54,-37.1,
20250428,11:10:54,-37.1,
20250428,11:10:55,-36.9,
20250428,11:10:55,-36.7,
20250428,11:10:55,-36.6,
20250428,11:10:55,-36.6,
20250428,11:10:56,-36.5,
20250428,11:10:56,-36.3,
20250428,11:10:56,-36.2,
