静息,正,中,负
11:01:09,11:02:49,11:04:11,11:06:32
,,,
CTP208 ,D4:F5:13:0B:7B:1B,,
,,,
,,,
,,,
,,,
,,,
,,,
20250515,10:57:11,-59.2,
20250515,10:57:11,-59.1,
20250515,10:57:12,-59,
20250515,10:57:12,-58.9,
20250515,10:57:12,-58.9,
20250515,10:57:12,-59,
20250515,10:57:13,-59.4,
20250515,10:57:13,-59.5,
20250515,10:57:13,-59.8,
20250515,10:57:13,-59.8,
20250515,10:57:14,-59.8,
20250515,10:57:14,-59.8,
20250515,10:57:14,-59.7,
20250515,10:57:15,-59.7,
20250515,10:57:15,-59.7,
20250515,10:57:15,-59.8,
20250515,10:57:15,-59.8,
20250515,10:57:16,-59.8,
20250515,10:57:16,-59.8,
20250515,10:57:16,-59.7,
20250515,10:57:17,-59.7,
20250515,10:57:17,-59.6,
20250515,10:57:17,-59.6,
20250515,10:57:17,-59.6,
20250515,10:57:18,-58.8,
20250515,10:57:18,-58.8,
20250515,10:57:18,-58.6,
20250515,10:57:18,-58.7,
20250515,10:57:19,-58.9,
20250515,10:57:19,-59.4,
20250515,10:57:19,-60.2,
20250515,10:57:20,-60.7,
20250515,10:57:20,-60.7,
20250515,10:57:20,-60.5,
20250515,10:57:20,-60.1,
20250515,10:57:21,-59.8,
20250515,10:57:21,-59.7,
20250515,10:57:21,-59.6,
20250515,10:57:22,-59.4,
20250515,10:57:22,-59.4,
20250515,10:57:22,-59.5,
20250515,10:57:22,-59.4,
20250515,10:57:23,-59.6,
20250515,10:57:23,-59.6,
20250515,10:57:23,-59.7,
20250515,10:57:23,-59.8,
20250515,10:57:24,-60.3,
20250515,10:57:24,-61.2,
20250515,10:57:24,-62.1,
20250515,10:57:25,-62.3,
20250515,10:57:25,-62,
20250515,10:57:25,-61.5,
20250515,10:57:25,-61.1,
20250515,10:57:26,-60.6,
20250515,10:57:26,-60.3,
20250515,10:57:26,-60.3,
20250515,10:57:27,-60.4,
20250515,10:57:27,-61,
20250515,10:57:27,-61.6,
20250515,10:57:27,-61,
20250515,10:57:28,-59,
20250515,10:57:28,-56.7,
20250515,10:57:28,-54.6,
20250515,10:57:28,-53,
20250515,10:57:29,-51.9,
20250515,10:57:29,-51.3,
20250515,10:57:29,-51,
20250515,10:57:30,-51.1,
20250515,10:57:30,-51.3,
20250515,10:57:30,-51.4,
20250515,10:57:30,-51.8,
20250515,10:57:31,-52.2,
20250515,10:57:31,-52.6,
20250515,10:57:31,-53,
20250515,10:57:31,-53.3,
20250515,10:57:32,-53.6,
20250515,10:57:32,-53.9,
20250515,10:57:32,-54.2,
20250515,10:57:33,-54.4,
20250515,10:57:33,-54.7,
20250515,10:57:33,-54.7,
20250515,10:57:33,-55,
20250515,10:57:34,-55.4,
20250515,10:57:34,-55.6,
20250515,10:57:34,-55.9,
20250515,10:57:35,-56.1,
20250515,10:57:35,-56.1,
20250515,10:57:35,-56.2,
20250515,10:57:35,-56.3,
20250515,10:57:36,-56.4,
20250515,10:57:36,-56.4,
20250515,10:57:36,-56.5,
20250515,10:57:36,-56.8,
20250515,10:57:37,-56.9,
20250515,10:57:37,-57,
20250515,10:57:37,-57.2,
20250515,10:57:38,-57.3,
20250515,10:57:38,-57.5,
20250515,10:57:38,-57.7,
20250515,10:57:38,-57.7,
20250515,10:57:39,-57.6,
20250515,10:57:39,-57.8,
20250515,10:57:39,-57.8,
20250515,10:57:40,-57.6,
20250515,10:57:40,-57.7,
20250515,10:57:40,-57.7,
20250515,10:57:40,-57.7,
20250515,10:57:41,-57.7,
20250515,10:57:41,-57.6,
20250515,10:57:41,-57.5,
20250515,10:57:41,-57.6,
20250515,10:57:42,-57.6,
20250515,10:57:42,-57.5,
20250515,10:57:42,-57.6,
20250515,10:57:43,-57.5,
20250515,10:57:43,-57.5,
20250515,10:57:43,-57.6,
20250515,10:57:43,-57.6,
20250515,10:57:44,-57.4,
20250515,10:57:44,-57.4,
20250515,10:57:44,-57.4,
20250515,10:57:44,-57.2,
20250515,10:57:45,-56.9,
20250515,10:57:45,-56.8,
20250515,10:57:45,-56.7,
20250515,10:57:46,-56.7,
20250515,10:57:46,-56.7,
20250515,10:57:46,-56.7,
20250515,10:57:46,-56.7,
20250515,10:57:47,-56.6,
20250515,10:57:47,-56.4,
20250515,10:57:47,-56.4,
20250515,10:57:48,-56.4,
20250515,10:57:48,-56.3,
20250515,10:57:48,-56.2,
20250515,10:57:48,-56.1,
20250515,10:57:49,-56,
20250515,10:57:49,-55.8,
20250515,10:57:49,-55.7,
20250515,10:57:49,-55.6,
20250515,10:57:50,-55.8,
20250515,10:57:50,-56.1,
20250515,10:57:50,-56.3,
20250515,10:57:51,-56.4,
20250515,10:57:51,-56.4,
20250515,10:57:51,-56.5,
20250515,10:57:51,-56.5,
20250515,10:57:52,-56.5,
20250515,10:57:52,-56.5,
20250515,10:57:52,-56.4,
20250515,10:57:53,-56.3,
20250515,10:57:53,-56.3,
20250515,10:57:53,-56.9,
20250515,10:57:53,-58.4,
20250515,10:57:54,-59.6,
