静息,正性,中性,负性
10:13:16,10:16:05,10:17:21,10:20:31
,,,
CTP266,88:4A:EA:8B:D1:E6,,
,,,
,,,
,,,
,,,
,,,
,,,
20250414,10:06:01,-37.2,
20250414,10:06:01,-37.5,
20250414,10:06:01,-37.6,
20250414,10:06:02,-38.3,
20250414,10:06:02,-37.9,
20250414,10:06:02,-37.5,
20250414,10:06:02,-37.4,
20250414,10:06:03,-37.3,
20250414,10:06:03,-37.3,
20250414,10:06:03,-37.3,
20250414,10:06:04,-37.4,
20250414,10:06:04,-37.8,
20250414,10:06:04,-38,
20250414,10:06:04,-38.1,
20250414,10:06:05,-38.2,
20250414,10:06:05,-38.3,
20250414,10:06:05,-38.4,
20250414,10:06:06,-38.4,
20250414,10:06:06,-38.5,
20250414,10:06:06,-38.6,
20250414,10:06:06,-39,
20250414,10:06:07,-39.4,
20250414,10:06:07,-39.9,
20250414,10:06:07,-40.5,
20250414,10:06:07,-40.8,
20250414,10:06:08,-40.9,
20250414,10:06:08,-40.7,
20250414,10:06:08,-40.3,
20250414,10:06:09,-40.4,
20250414,10:06:09,-40.2,
20250414,10:06:09,-40,
20250414,10:06:09,-40.2,
20250414,10:06:10,-40.5,
20250414,10:06:10,-40.2,
20250414,10:06:10,-40,
20250414,10:06:10,-39.8,
20250414,10:06:11,-39.5,
20250414,10:06:11,-39.4,
20250414,10:06:11,-39.3,
20250414,10:06:12,-39.2,
20250414,10:06:12,-39.2,
20250414,10:06:12,-39.2,
20250414,10:06:12,-39.5,
20250414,10:06:13,-39.9,
20250414,10:06:13,-40,
20250414,10:06:13,-40,
20250414,10:06:14,-39.7,
20250414,10:06:14,-39.9,
20250414,10:06:14,-40,
20250414,10:06:14,-40.2,
20250414,10:06:15,-40,
20250414,10:06:15,-40,
20250414,10:06:15,-39.7,
20250414,10:06:15,-39.2,
20250414,10:06:16,-38.7,
20250414,10:06:16,-38.3,
20250414,10:06:16,-38.2,
20250414,10:06:17,-37.9,
20250414,10:06:17,-37.8,
20250414,10:06:17,-37.8,
20250414,10:06:17,-37.9,
20250414,10:06:18,-37.9,
20250414,10:06:18,-37.9,
20250414,10:06:18,-38,
20250414,10:06:19,-38.3,
20250414,10:06:19,-38.2,
20250414,10:06:19,-38.1,
20250414,10:06:19,-38.1,
20250414,10:06:20,-38.2,
20250414,10:06:20,-38.3,
20250414,10:06:20,-38.5,
20250414,10:06:20,-38.9,
20250414,10:06:21,-39.3,
20250414,10:06:21,-39.9,
20250414,10:06:21,-40,
20250414,10:06:22,-40,
20250414,10:06:22,-40,
20250414,10:06:22,-39.8,
20250414,10:06:22,-39.7,
20250414,10:06:23,-39.6,
20250414,10:06:23,-39.6,
20250414,10:06:23,-39.9,
20250414,10:06:24,-40,
20250414,10:06:24,-40.5,
20250414,10:06:24,-40.7,
20250414,10:06:24,-40.7,
20250414,10:06:25,-40.6,
20250414,10:06:25,-40.5,
20250414,10:06:25,-40.5,
20250414,10:06:25,-40.4,
20250414,10:06:26,-40.1,
20250414,10:06:26,-40.1,
20250414,10:06:26,-40,
20250414,10:06:27,-40,
20250414,10:06:27,-40,
20250414,10:06:27,-40,
20250414,10:06:27,-40,
20250414,10:06:28,-40,
20250414,10:06:28,-40.1,
20250414,10:06:28,-40.2,
20250414,10:06:28,-40.4,
20250414,10:06:29,-40.3,
20250414,10:06:29,-40.4,
20250414,10:06:29,-40.7,
20250414,10:06:30,-40.9,
20250414,10:06:30,-41.4,
20250414,10:06:30,-41.7,
20250414,10:06:30,-41.5,
20250414,10:06:31,-41.7,
20250414,10:06:31,-41.7,
20250414,10:06:31,-41.7,
20250414,10:06:32,-41.6,
20250414,10:06:32,-41.1,
20250414,10:06:32,-40.9,
20250414,10:06:32,-40.9,
20250414,10:06:33,-41.1,
20250414,10:06:33,-41.4,
20250414,10:06:33,-41.6,
20250414,10:06:33,-41.4,
20250414,10:06:34,-41.3,
20250414,10:06:34,-41.5,
20250414,10:06:34,-41.9,
20250414,10:06:35,-42.4,
20250414,10:06:35,-42.5,
20250414,10:06:35,-42.4,
20250414,10:06:35,-42.1,
20250414,10:06:36,-41.8,
20250414,10:06:36,-41.7,
20250414,10:06:36,-41,
20250414,10:06:37,-40.6,
20250414,10:06:37,-39.7,
20250414,10:06:37,-39.2,
20250414,10:06:37,-38.9,
20250414,10:06:38,-39.1,
20250414,10:06:38,-39.2,
